NUM_SUB_KERNELS,SAMPLE_PER_STUDENT,NUM_STUDENTS,seed,pref_thresh,alg,seats,nash,zeros,min_val,PMMS_violations,PMMS_agents,EF_violations,EF_agents,EF1_violations,EF1_agents,EFX_violations,EFX_agents,runtime
1,10,2308,43,10,YS,7154.0,2.8752022966464255,0,1,0,0,3378,371,1,1,25,7,949.864750623703
1,10,2308,18,10,SD,6902.0,2.8400978903855223,120,0,9848,236,49781,525,10607,276,43199,434,111.45762968063354
1,10,2308,26,10,RR,6998.0,2.805087501416877,45,0,556,40,16904,424,815,59,11138,245,369.7121789455414
1,10,2308,8,10,SD,6917.999999999999,2.8219476956624123,107,0,11193,230,51588,547,11881,268,44489,449,103.71360206604004
1,10,2308,18,10,YS,7129.0,2.8738139165593117,0,1,0,0,3094,394,2,2,23,9,991.1401860713959
1,10,2308,8,10,YS,7136.0,2.8774102856720467,0,1,0,0,2788,376,2,1,38,5,978.8369109630585
1,10,2308,26,10,SD,6944.0,2.8413184288633127,112,0,12528,245,55199,529,13147,282,48466,440,100.70562672615051
1,10,2308,34,10,RR,6933.0,2.7804167144749417,50,0,923,45,16738,461,1011,59,11382,274,373.75581979751587
1,10,2308,44,10,RR,6977.0,2.7876138367530077,46,0,664,35,15884,423,912,53,10821,247,375.2596700191498
1,10,2308,26,10,YS,7128.0,2.882085854589113,0,1,0,0,3280,295,0,0,0,0,941.1313383579254
1,10,2308,34,10,SD,6901.0,2.836255774108384,115,0,8585,225,46193,538,9764,278,39988,452,99.303884267807
1,10,2308,44,10,SD,6924.0,2.856679890715927,120,0,9187,204,47036,525,10174,239,41396,431,102.8243305683136
1,10,2308,19,10,RR,6998.0,2.8057277329488457,43,0,671,46,16862,465,913,77,10832,287,380.3077540397644
1,10,2308,9,10,RR,6977.0,2.771870849663954,35,0,628,48,15782,451,896,70,10525,275,378.82637572288513
1,10,2308,34,10,YS,7133.0,2.8764811307564746,0,1,0,0,2814,401,2,2,11,5,957.7503910064697
1,10,2308,44,10,YS,7153.0,2.8808317475434455,0,1,0,0,3374,389,0,0,7,2,977.700097322464
1,10,2308,19,10,SD,6952.0,2.8471324103827964,108,0,10592,229,51276,529,11459,277,44281,437,105.03790259361267
1,10,2308,27,10,RR,6979.0,2.780221674736937,44,0,1018,39,14966,411,1156,55,10535,241,375.7500855922699
1,10,2308,9,10,SD,6920.0,2.817759580027258,101,0,10183,227,50779,543,11154,275,43531,439,102.98540663719177
1,10,2308,19,10,YS,7156.0,2.8911800790184943,0,1,0,0,3062,321,2,2,45,4,977.1716401576996
1,10,2308,9,10,YS,7180.0,2.8885663408284956,0,1,0,0,2970,399,4,2,55,6,983.0643968582153
1,10,2308,27,10,SD,6915.0,2.8342004650669996,112,0,8399,202,44135,499,9513,249,38425,422,102.73478674888611
1,10,2308,35,10,RR,6958.0,2.770945188837137,44,0,796,31,16703,418,1016,51,10708,248,384.25335907936096
1,10,2308,45,10,RR,6941.0,2.768781270639971,46,0,443,37,15687,460,628,52,9601,252,375.69870257377625
1,10,2308,27,10,YS,7155.0,2.868152485102656,0,1,0,0,3516,379,1,1,67,8,979.3512899875641
1,10,2308,35,10,SD,6894.0,2.8175356515773897,111,0,8888,219,46594,515,9797,274,40327,434,102.60884499549866
1,10,2308,45,10,SD,6898.0,2.822926278377434,111,0,9537,220,47529,509,10180,262,41223,417,102.34666514396667
1,10,2308,35,10,YS,7151.0,2.8771904474561074,0,1,0,0,3144,362,1,1,8,4,971.3032872676849
1,10,2308,45,10,YS,7165.999999999999,2.8756664648065793,0,1,0,0,3534,399,1,1,15,6,998.4790549278259
1,10,2308,28,10,RR,6979.999999999999,2.791019631467991,36,0,523,32,15843,424,748,50,9991,242,369.44841957092285
1,10,2308,28,10,SD,6943.0,2.8532784590108555,105,0,9838,219,48030,514,10833,265,41441,438,101.04377794265747
1,10,2308,36,10,RR,6967.0,2.7857346131193808,46,0,524,29,13447,411,666,49,8903,240,409.800984621048
1,10,2308,46,10,RR,6985.0,2.7942621786697837,36,0,763,41,14247,429,910,57,8745,242,374.0027358531952
1,10,2308,28,10,YS,7144.0,2.8910822596315664,0,1,0,0,3311,287,1,1,20,4,945.6058509349823
1,10,2308,36,10,SD,6886.0,2.829019159102497,114,0,8646,206,44766,507,9125,245,38226,421,101.34465026855469
1,10,2308,46,10,SD,6933.0,2.8339870525861315,101,0,8950,220,43421,523,9393,261,37614,433,101.38041400909424
1,10,2308,36,10,YS,7172.0,2.8728652506318118,0,1,0,0,3127,346,0,0,17,5,979.8394167423248
1,10,2308,46,10,YS,7139.000000000001,2.8902727275299687,0,1,0,0,2950,371,0,0,4,4,955.47638463974
1,10,2308,29,10,RR,6989.0,2.7797013612688786,33,0,680,43,15550,461,881,62,9314,230,368.49465465545654
1,10,2308,29,10,SD,6937.0,2.8419010342888944,111,0,12351,244,55357,544,13438,295,47837,452,101.2392430305481
1,10,2308,37,10,RR,6956.0,2.775177509735733,43,0,525,41,14668,416,635,54,9373,238,438.86404061317444
1,10,2308,47,10,RR,6964.0,2.7733028648246862,44,0,506,34,14968,385,910,55,9859,229,379.0425066947937
1,10,2308,29,10,YS,7130.0,2.888559411277483,0,1,0,0,2363,360,0,0,4,3,942.7633998394012
1,10,2308,37,10,SD,6885.0,2.8361104634229757,117,0,9663,220,45282,516,10023,249,39173,420,102.03363227844238
1,10,2308,47,10,SD,6893.0,2.825303883405077,116,0,9480,207,48299,523,10175,250,42063,428,102.49980926513672
1,10,2308,37,10,YS,7152.0,2.8753655243327585,0,1,0,0,3236,400,0,0,59,11,983.7802453041077
