NUM_STUDENTS,pref_thresh,seed,alg,seats,nash,zeros,min_val,PMMS_violations,PMMS_agents,EF_violations,EF_agents,EF1_violations,EF1_agents,EFX_violations,EFX_agents,runtime
471,10,18,SD,1399.0,2.8389728736224225,28,0,511,43,2502,105,540,47,2216,91,19.744269371032715
471,10,18,RR,1416.0,2.7737093197845937,9,0,80,7,890,80,84,11,608,46,77.72904229164124
471,10,18,ILP,1452.0,2.834143882979571,14,0,159,25,1464,96,183,31,1145,69,2306.6446690559387
471,10,18,YS,1452.0,2.870426155083514,0,1,0,0,132,57,0,0,0,0,192.74579000473022
471,10,19,SD,1401.0,2.8409770006814496,27,0,688,44,2633,103,717,48,2312,87,19.87740921974182
471,10,19,RR,1424.0,2.8099089255452077,10,0,29,6,713,74,37,11,424,40,79.39303398132324
471,10,19,ILP,1453.0,2.8255599381510073,13,0,250,31,1658,96,259,36,1350,75,2279.672252893448
471,10,19,YS,1453.0,2.8792530039223028,0,1,0,0,173,54,1,1,1,1,187.52382040023804
471,10,20,SD,1383.0,2.7659604987537993,25,0,659,48,2632,102,675,52,2310,89,19.517690181732178
471,10,20,RR,1406.0,2.749729405597369,10,0,29,7,678,78,29,7,435,40,78.29490327835083
471,10,20,ILP,1457.0,2.8475775250939037,16,0,213,22,1397,91,225,30,1142,64,2342.626567840576
471,10,20,YS,1457.0,2.8654058952440873,0,1,0,0,204,51,0,0,4,2,193.08581495285034
471,10,21,SD,1407.0,2.855831295454624,24,0,560,38,2325,97,602,43,2001,77,19.969852209091187
471,10,21,RR,1411.0,2.751513888048423,7,0,65,13,884,74,66,14,570,45,79.46689915657043
471,10,21,ILP,1443.0,2.8807839720421,20,0,220,29,1645,101,248,35,1320,72,2307.997573375702
471,10,21,YS,1443.0,2.8632824860264106,0,1,0,0,214,56,0,0,0,0,190.69904041290283
471,10,22,SD,1401.0,2.7847511203371127,22,0,455,32,2218,100,502,42,1959,88,19.54578709602356
471,10,22,RR,1412.0,2.7836533637457777,11,0,78,6,815,77,89,11,550,46,78.07352709770203
471,10,22,ILP,1446.0,2.880460405080302,21,0,188,31,1549,90,191,33,1287,65,2302.9973833560944
471,10,22,YS,1446.0,2.8526863872087875,0,1,0,0,173,56,0,0,1,1,186.32960534095764
471,10,23,SD,1408.0,2.8090206831778617,21,0,606,41,2351,95,615,44,2037,76,19.409931659698486
471,10,23,RR,1417.0,2.7713577241619722,8,0,22,7,673,80,43,10,404,42,77.70228290557861
471,10,23,ILP,1445.0,2.808483949504397,14,0,280,35,1684,97,285,38,1382,72,2284.834150791168
471,10,23,YS,1445.0,2.8656110019231207,0,1,0,0,106,50,0,0,0,0,179.91923189163208
471,10,24,SD,1403.0,2.795808674061516,22,0,498,40,2229,93,555,46,1964,84,19.796323776245117
471,10,24,RR,1415.0,2.7560777083177443,7,0,35,7,717,72,41,9,464,44,79.30773520469666
471,10,24,ILP,1462.0,2.8630600751441575,14,0,261,27,1668,86,297,31,1318,68,2309.173398733139
471,10,24,YS,1462.0,2.8844793869551584,0,1,0,0,178,54,0,0,0,0,194.53936672210693
471,10,25,SD,1392.0,2.7924811168025583,26,0,960,50,3349,111,1066,56,2988,101,19.214416980743408
471,10,25,RR,1409.0,2.74740955380455,6,0,30,9,793,89,39,13,515,59,76.86655235290527
471,10,25,ILP,1432.0,2.763686669119306,14,0,269,33,1868,116,301,42,1497,90,2312.435065984726
471,10,25,YS,1432.0,2.8501203181886785,0,1,0,0,156,56,0,0,0,0,179.72154355049133
471,10,26,SD,1401.0,2.8184784434400725,25,0,574,43,2609,107,650,51,2280,92,19.670164823532104
471,10,26,RR,1413.0,2.763342309259829,10,0,67,12,1001,85,81,15,752,63,78.93883943557739
471,10,26,ILP,1449.0,2.8704356839563734,20,0,220,36,1703,98,227,38,1397,74,2297.973599910736
471,10,26,YS,1448.0,2.860103345151453,0,1,0,0,215,62,0,0,0,0,188.9801526069641
471,10,27,SD,1398.0,2.756610480631715,20,0,400,48,2152,107,410,53,1887,92,18.587491512298584
471,10,27,RR,1408.0,2.727448762285126,6,0,40,9,663,76,50,11,406,45,76.25523495674133
471,10,27,ILP,1432.0,2.7716161565023603,14,0,339,36,2038,105,367,40,1653,87,2436.734433889389
471,10,27,YS,1432.0,2.8385069984050486,0,1,0,0,179,53,0,0,0,0,180.80395412445068
471,10,28,SD,1404.0,2.8523851042858586,27,0,736,44,2931,106,849,54,2626,93,19.335380792617798
471,10,28,RR,1422.0,2.7858831432200635,8,0,43,7,759,79,47,9,495,48,77.17734265327454
471,10,28,ILP,1450.0,2.88049322006151,17,0,182,26,1488,96,187,29,1160,71,2357.791930437088
471,10,28,YS,1450.0,2.8922910536057898,0,1,0,0,137,50,0,0,0,0,181.17841911315918
471,10,29,SD,1407.0,2.818551894972734,25,0,817,49,3133,108,849,53,2848,91,19.1152241230011
471,10,29,RR,1413.0,2.758930686951114,5,0,14,7,720,88,28,12,393,50,76.77742385864258
471,10,29,ILP,1441.0,2.7948939090832985,14,0,379,40,1957,111,409,48,1602,88,2342.058954000473
471,10,29,YS,1441.0,2.872205439380779,0,1,0,0,175,69,0,0,0,0,184.30163311958313
471,10,30,SD,1401.0,2.813360534536739,25,0,674,49,2569,90,702,52,2315,81,19.189218759536743
471,10,30,RR,1426.0,2.7675966826384615,4,0,11,4,400,68,11,4,217,31,77.76033306121826
471,10,30,ILP,1460.0,2.8966588621133478,20,0,375,38,1986,90,380,42,1684,74,2370.386602640152
471,10,30,YS,1460.0,2.9042020607259875,0,1,0,0,133,43,0,0,0,0,186.53513526916504
471,10,31,SD,1410.0,2.785110416489038,22,0,575,46,2443,97,645,51,2194,90,19.350497007369995
471,10,31,RR,1435.0,2.793799222861953,7,0,21,6,571,65,25,8,381,45,78.9004979133606
471,10,31,ILP,1451.0,2.8283841367552105,15,0,207,22,1345,91,212,25,1082,70,2324.4367773532867
471,10,31,YS,1451.0,2.863124593096592,0,1,0,0,212,53,0,0,1,1,184.2320055961609
471,10,32,SD,1386.0,2.8252509243672606,29,0,461,45,2462,103,480,51,2167,89,19.038946628570557
471,10,32,RR,1409.0,2.7907695034029114,11,0,23,7,759,67,24,8,524,42,76.85682797431946
471,10,32,ILP,1449.0,2.8926302945138276,19,0,243,26,1527,92,248,29,1284,79,2358.1340594291687
471,10,32,YS,1449.0,2.8669974563721423,0,1,0,0,130,52,0,0,1,1,185.92470288276672
471,10,33,SD,1423.0,2.8632032959386136,23,0,597,41,2305,89,603,44,2020,78,19.34062123298645
471,10,33,RR,1431.0,2.790166254401171,7,0,42,8,814,82,43,9,483,47,79.18171000480652
471,10,33,ILP,1459.0,2.8511517667038446,15,0,336,39,1939,95,355,41,1594,81,2339.157680273056
471,10,33,YS,1459.0,2.8953463027866504,0,1,0,0,108,47,0,0,0,0,185.1409969329834
471,10,34,SD,1425.0,2.8979593294819717,29,0,611,39,2581,95,658,44,2257,81,19.330621242523193
471,10,34,RR,1433.0,2.7784245695741623,8,0,58,6,841,71,63,8,587,47,78.76304793357849
471,10,34,ILP,1461.0,2.8746629878932284,17,0,288,35,1779,87,335,41,1483,67,2334.1456937789917
471,10,34,YS,1461.0,2.8851316165422807,0,1,0,0,165,60,0,0,0,0,189.67816996574402
471,10,35,SD,1424.0,2.9246749859706735,28,0,591,44,2480,99,630,49,2213,87,19.463961601257324
471,10,35,RR,1438.0,2.8252962539368043,7,0,47,3,752,74,50,5,383,44,80.36416411399841
471,10,35,ILP,1465.0,2.932993339501548,21,0,231,26,1546,92,243,32,1308,63,3290.8680198192596
471,10,35,YS,1465.0,2.913926277309331,0,1,0,0,176,55,0,0,1,1,189.1176836490631
471,10,36,SD,1399.0,2.7991456720224495,23,0,503,45,2566,101,563,53,2220,89,19.219122886657715
471,10,36,RR,1417.0,2.75771989345728,7,0,18,5,798,73,67,8,499,43,78.52842426300049
471,10,36,ILP,1449.0,2.812321281604846,13,0,330,28,1683,92,335,31,1387,67,2400.2418644428253
471,10,36,YS,1449.0,2.8672037051168666,0,1,0,0,110,57,0,0,1,1,182.80559396743774
471,10,37,SD,1410.0,2.8152135546543544,21,0,556,46,2531,99,635,55,2242,91,19.149279832839966
471,10,37,RR,1413.0,2.7586221539148057,5,0,91,9,756,79,92,10,423,39,77.09116625785828
471,10,37,ILP,1456.0,2.875237224149364,17,0,249,26,1689,99,262,31,1405,82,2391.987632036209
471,10,37,YS,1456.0,2.8922078413578105,0,1,0,0,100,46,0,0,0,0,183.74455189704895
471,10,38,SD,1392.0,2.788451931075794,23,0,446,47,2316,114,462,52,1946,99,18.789405345916748
471,10,38,RR,1410.0,2.7599129404774163,9,0,69,12,953,86,76,16,616,51,76.74076414108276
471,10,38,ILP,1449.0,2.8705880139679234,19,0,172,24,1457,104,184,28,1197,77,2397.9530680179596
471,10,38,YS,1449.0,2.867210574929224,0,1,0,0,145,56,0,0,2,2,185.03968739509583
471,10,39,SD,1395.0,2.8101205458651908,26,0,649,46,2555,103,675,51,2250,89,18.86196541786194
471,10,39,RR,1418.0,2.7636361925356874,7,0,20,5,735,77,34,8,443,46,76.66452479362488
471,10,39,ILP,1442.0,2.8373989262927135,19,0,251,34,1683,116,259,39,1391,87,2383.4875242710114
471,10,39,YS,1442.0,2.8661480047504813,0,1,0,0,133,55,0,0,0,0,181.4043173789978
471,10,40,SD,1392.0,2.7793556824235996,24,0,495,42,2255,102,516,49,1944,88,19.179713010787964
471,10,40,RR,1417.0,2.7623308442490635,10,0,11,5,652,76,15,7,430,44,90.23027205467224
471,10,40,ILP,1448.0,2.7991797768886695,14,0,276,34,1792,96,290,41,1471,77,3379.456813812256
471,10,40,YS,1448.0,2.856633191158199,0,1,0,0,162,55,0,0,2,1,184.7933259010315
471,10,41,SD,1408.0,2.839521636100104,23,0,664,43,2616,102,740,49,2299,88,18.997398614883423
471,10,41,RR,1424.0,2.7808705672779337,6,0,62,8,738,86,64,9,432,45,77.91701793670654
471,10,41,ILP,1450.0,2.851385992453337,17,0,235,39,1811,104,257,42,1475,80,2403.055764198303
471,10,41,YS,1450.0,2.889482529018457,0,1,0,0,135,40,0,0,0,0,181.936705827713
471,10,42,SD,1396.0,2.7313846160307444,17,0,421,39,1932,104,439,42,1682,84,19.124802350997925
471,10,42,RR,1420.0,2.762369444858196,8,0,13,7,705,82,22,13,503,58,77.99937319755554
471,10,42,ILP,1448.0,2.9068044684141414,23,0,163,27,1538,93,181,33,1317,69,2443.5328979492188
471,10,42,YS,1448.0,2.8581307994934404,0,1,0,0,148,42,0,0,1,1,184.26610898971558
471,10,43,SD,1397.0,2.8451468027505666,27,0,567,47,2535,109,610,53,2222,92,19.063597679138184
471,10,43,RR,1415.0,2.8006292791740495,12,0,56,12,986,81,67,14,694,49,77.62093877792358
471,10,43,ILP,1436.0,2.8152147219801797,14,0,291,34,1697,100,294,37,1395,72,2553.2683112621307
471,10,43,YS,1436.0,2.862648913529334,0,1,0,0,127,45,0,0,0,0,179.3979709148407
471,10,44,SD,1419.0,2.8427649545698066,22,0,539,45,2350,97,548,49,2013,83,19.148865699768066
471,10,44,RR,1434.0,2.816513009060136,8,0,42,9,721,69,51,13,454,36,78.73793935775757
471,10,44,ILP,1461.0,2.86848880920747,17,0,239,31,1707,92,242,33,1435,62,2556.1923763751984
471,10,44,YS,1461.0,2.894149413208898,0,1,0,0,113,44,0,0,0,0,180.8133294582367
471,10,45,SD,1411.0,2.8289562135185657,25,0,499,42,2285,86,509,44,1991,74,18.883959531784058
471,10,45,RR,1416.0,2.762384994732538,10,0,54,11,939,75,84,21,683,55,77.12105536460876
471,10,45,ILP,1441.0,2.8263077239778793,19,0,233,30,1819,100,331,40,1546,86,2557.1732387542725
471,10,45,YS,1441.0,2.84007783240697,0,1,0,0,181,45,0,0,0,0,189.1062753200531
471,10,46,SD,1397.0,2.788825750381054,25,0,494,36,2251,93,513,41,2004,82,19.100752592086792
471,10,46,RR,1410.0,2.730864890240066,7,0,19,3,619,67,41,6,390,37,77.94168734550476
471,10,46,ILP,1448.0,2.832436721218507,17,0,198,27,1545,89,201,28,1286,66,3046.0811080932617
471,10,46,YS,1448.0,2.8427721547480167,0,1,0,0,194,54,0,0,0,0,187.45670676231384
471,10,47,SD,1409.0,2.8135529475950296,22,0,647,47,2531,97,725,52,2236,90,19.20749831199646
471,10,47,RR,1423.0,2.7653701455411652,6,0,49,10,823,77,64,14,523,43,78.25496482849121
471,10,47,ILP,1446.0,2.8210402284970684,14,0,235,24,1680,95,262,32,1394,72,2550.573703765869
471,10,47,YS,1446.0,2.8717224002464743,0,1,0,0,175,49,0,0,0,0,185.54257535934448
471,10,48,SD,1399.0,2.821041928394955,25,0,624,46,2480,97,665,50,2169,85,18.77822256088257
471,10,48,RR,1416.0,2.7893440971023185,9,0,17,5,785,78,69,9,471,49,76.31249833106995
471,10,48,ILP,1438.0,2.815859480260004,18,0,192,39,1614,105,194,41,1313,84,2443.2299585342407
471,10,48,YS,1438.0,2.859470476118401,0,1,0,0,202,50,0,0,0,0,179.69782757759094
471,10,49,SD,1403.0,2.8251588250377813,25,0,489,41,2376,99,509,45,2084,87,18.68010449409485
471,10,49,RR,1411.0,2.7653908650700334,8,0,33,8,763,84,36,10,431,53,77.10874342918396
471,10,49,ILP,1440.0,2.848764106664065,23,0,262,31,1904,107,285,42,1622,92,2540.948223590851
471,10,49,YS,1440.0,2.8453685385846765,0,1,0,0,273,50,19,1,83,1,179.13630032539368
471,10,50,SD,1405.0,2.8710470281459712,29,0,733,45,2910,108,786,51,2577,91,19.10026788711548
471,10,50,RR,1420.0,2.775129677463077,8,0,61,8,745,76,68,10,427,41,78.30372619628906
471,10,50,ILP,1447.0,2.804089948492672,12,0,180,34,1441,105,183,36,1101,80,2550.753749847412
471,10,50,YS,1447.0,2.8751705273634296,0,1,0,0,134,62,0,0,0,0,183.47115230560303
471,10,51,SD,1420.0,2.8589678091346133,24,0,485,40,2224,106,533,50,1966,91,19.06819248199463
471,10,51,RR,1425.0,2.798461354559218,9,0,37,11,723,82,50,13,462,49,79.36612010002136
471,10,51,ILP,1461.0,2.845519988963092,15,0,219,32,1730,101,281,39,1435,83,3127.8922271728516
471,10,51,YS,1461.0,2.890998395504178,0,1,0,0,131,45,0,0,2,1,184.63856768608093
471,10,52,SD,1408.0,2.8333018764075084,22,0,530,43,2178,97,548,48,1888,79,19.080565214157104
471,10,52,RR,1423.0,2.7624817460631395,5,0,31,10,671,82,34,11,382,43,78.49375987052917
471,10,52,ILP,1457.0,2.843113379447724,12,0,178,28,1207,87,184,32,958,75,2494.08269906044
471,10,52,YS,1457.0,2.88895603397211,0,1,0,0,189,60,0,0,0,0,182.04748058319092
471,10,53,SD,1409.0,2.8087951026151354,21,0,377,47,2074,93,387,51,1829,86,18.922001600265503
471,10,53,RR,1429.0,2.805839104490449,9,0,46,9,801,68,51,11,528,37,78.30681705474854
471,10,53,ILP,1456.0,2.8277630916088428,12,0,219,28,1363,90,240,38,1134,76,2464.9874165058136
471,10,53,YS,1456.0,2.874466428079614,0,1,0,0,130,49,0,0,1,1,183.88919067382812
471,10,54,SD,1402.0,2.8167428963071606,23,0,564,44,2462,102,585,49,2183,90,19.156912565231323
471,10,54,RR,1419.0,2.7702709886419545,6,0,46,8,781,77,64,14,494,42,78.05894064903259
471,10,54,ILP,1446.0,2.8530913418302415,15,0,321,30,1821,95,358,33,1485,70,2464.4121429920197
471,10,54,YS,1446.0,2.8685761552989986,0,1,0,0,150,62,0,0,1,1,179.77782320976257
471,10,55,SD,1419.0,2.8436010554117437,24,0,551,49,2592,114,588,56,2309,94,19.375372171401978
471,10,55,RR,1433.0,2.788607548660564,7,0,55,9,749,89,58,11,470,57,79.10101413726807
471,10,55,ILP,1459.0,2.8812334529566987,17,0,220,28,1677,99,224,31,1392,77,2547.509836912155
471,10,55,YS,1459.0,2.9010539999429383,0,1,0,0,229,62,0,0,0,0,188.60788106918335
471,10,56,SD,1400.0,2.843563381865485,28,0,750,43,3008,98,788,49,2639,86,22.29129719734192
471,10,56,RR,1427.0,2.8043510260453752,8,0,15,6,612,73,25,7,397,48,86.42707014083862
471,10,56,ILP,1452.0,2.808917215599156,13,0,162,32,1308,105,188,39,1063,85,2687.966776609421
471,10,56,YS,1452.0,2.878747054800679,0,1,0,0,203,50,0,0,0,0,181.42372012138367
471,10,57,SD,1405.0,2.7904116646361703,21,0,600,43,2480,98,653,56,2181,87,19.104417085647583
471,10,57,RR,1416.0,2.7550754236319164,7,0,57,8,880,82,77,11,572,47,78.5496814250946
471,10,57,ILP,1433.0,2.7914962246074886,17,0,313,25,1931,109,382,33,1592,85,2703.018538951874
471,10,57,YS,1445.0,2.8703690768563397,0,1,0,0,164,46,0,0,0,0,181.36355757713318
471,10,58,SD,1388.0,2.837187395409547,32,0,822,51,3176,98,849,57,2801,86,19.34038758277893
471,10,58,RR,1417.0,2.740366145415874,4,0,25,8,673,81,28,11,348,40,79.0138726234436
471,10,58,ILP,1445.0,2.8311445352777596,17,0,319,42,1851,104,346,50,1547,83,2481.3740298748016
471,10,58,YS,1445.0,2.8706866998596223,0,1,0,0,249,62,0,0,0,0,184.45877695083618
471,10,59,SD,1406.0,2.83626753131446,24,0,513,34,2128,93,523,39,1840,81,19.04447603225708
471,10,59,RR,1411.0,2.7414081181841086,8,0,24,6,845,85,31,10,547,51,78.2960638999939
471,10,59,ILP,1452.0,2.822123726458182,12,0,154,27,1397,89,169,34,1144,67,2578.7992873191833
471,10,59,YS,1452.0,2.874542242490631,0,1,0,0,174,56,0,0,0,0,184.23074793815613
471,10,60,SD,1404.0,2.8343115589375474,26,0,682,42,2695,106,735,47,2379,88,19.015000820159912
471,10,60,RR,1424.0,2.785756174302092,7,0,70,11,805,80,96,16,520,45,77.88383436203003
471,10,60,ILP,1462.0,2.858574218036323,15,0,298,31,1501,82,309,37,1252,64,2621.403713464737
471,10,60,YS,1462.0,2.888157507142054,0,1,0,0,188,54,0,0,0,0,184.9015028476715
471,10,61,SD,1409.0,2.8488535314707755,25,0,674,47,2748,112,706,53,2434,98,19.067520141601562
471,10,61,RR,1428.0,2.8060112019259047,7,0,38,6,748,88,38,6,469,48,78.38364863395691
471,10,61,ILP,1457.0,2.8898858134504555,18,0,288,34,1675,99,301,42,1383,82,2469.762561559677
471,10,61,YS,1457.0,2.908317748171938,0,1,0,0,177,55,0,0,0,0,204.8703007698059
471,10,62,SD,1392.0,2.7885069452440154,25,0,576,46,2554,105,642,55,2242,95,18.73326325416565
471,10,62,RR,1413.0,2.738042475671023,5,0,18,7,539,71,19,8,322,40,77.22052383422852
471,10,62,ILP,1441.0,2.844716429022495,18,0,228,36,1685,99,234,39,1359,85,3014.5600814819336
471,10,62,YS,1441.0,2.8597868931282373,0,1,0,0,102,42,0,0,0,0,177.05114340782166
471,10,63,SD,1402.0,2.8074577489666854,23,0,525,41,2438,94,630,47,2150,81,18.9976704120636
471,10,63,RR,1406.0,2.7387284765332023,7,0,35,5,651,63,35,5,424,33,77.5827968120575
471,10,63,ILP,1456.0,2.8507193246397535,14,0,258,32,1352,86,266,35,1075,60,2596.287220478058
471,10,63,YS,1456.0,2.8709306417800544,0,1,0,0,156,51,0,0,0,0,188.3752121925354
471,10,64,SD,1387.0,2.7542788349645457,22,0,549,37,2376,95,572,43,2103,82,18.78949546813965
471,10,64,RR,1416.0,2.7732290347707163,8,0,45,6,688,68,50,9,420,43,77.12904644012451
471,10,64,ILP,1451.0,2.791998099152855,9,0,142,29,1393,96,186,34,1090,69,2531.5659272670746
471,10,64,YS,1451.0,2.86688646748453,0,1,0,0,116,39,0,0,0,0,180.1967101097107
471,10,65,SD,1391.0,2.763408469561937,22,0,548,44,2529,106,607,52,2244,95,18.9576153755188
471,10,65,RR,1409.0,2.7549738590078463,7,0,42,10,750,88,49,15,479,54,77.43597483634949
471,10,65,ILP,1435.0,2.796164219533524,14,0,238,38,1607,98,257,44,1267,76,2578.132138490677
