NUM_STUDENTS,seed,pref_thresh,alg,seats,nash,zeros,runtime
2308,2,10,YS,7145.0,2.8887470308549497,0,986.5480735301971
2308,3,10,RR,6956.0,2.770288473797972,37,379.2675929069519
2308,3,10,SD,6914.0,2.8239659630502314,107,104.18216037750244
2308,3,10,YS,7166.0,2.8793207126852365,0,1005.6687033176422
2308,4,10,RR,7010.0,2.7941626170112204,32,380.8428099155426
2308,4,10,SD,6977.0,2.843669972525916,95,103.91880130767822
2308,4,10,YS,7121.0,2.885765203130281,0,960.16857171058655
2308,5,10,RR,6990.0,2.788469218089225,33,385.52604508399963
2308,5,10,SD,6916.0,2.8347443271992696,109,103.76075673103333
2308,5,10,YS,7129.0,2.8858220999560995,0,970.8025035858154
2308,6,10,RR,6956.0,2.775787127785124,42,377.9893171787262
2308,6,10,SD,6893.0,2.809355114108431,104,103.48819899559021
2308,6,10,YS,7154.0,2.8823046914048898,0,981.1254196166992
2308,7,10,RR,6998.0,2.787438388471579,36,383.3901526927948
2308,7,10,SD,6925.0,2.829923577800257,112,104.26960444450378
2308,7,10,YS,7131.0,2.886124923518384,0,975.6285767555237
2308,8,10,RR,6970.0,2.7844872800411595,41,380.02010846138
2308,8,10,SD,6918.0,2.8219476956624123,107,103.71360206604004
2308,8,10,YS,7136.0,2.8774102856720467,0,978.8369109630585
2308,9,10,RR,6977.0,2.771870849663954,35,378.82637572288513
2308,9,10,SD,6920.0,2.817759580027258,101,102.98540663719177
2308,9,10,YS,7180.0,2.8885663408284956,0,983.0643968582153
2000,0,10,RR,6005.0,2.767579191150507,41,407.6794607639313
2000,0,10,SD,5979.0,2.833069627505463,104,87.29447364807129
2000,0,10,YS,6189.0,2.8634942502878595,0,1066.408320903778
1000,0,10,RR,3032.0,2.7821295117920166,19,169.92448616027832
1000,0,10,SD,2992.0,2.831163250390158,52,46.614909410476685
1000,0,10,YS,3119.0,2.880884023596228,0,513.2340347766876
1000,1,10,RR,3047.0,2.788367142625033,18,173.54403591156006
1000,1,10,SD,2997.0,2.8405421813831824,56,46.950446128845215
1000,1,10,YS,3125.0,2.89474525967026,0,464.56844210624695
2000,1,10,RR,6074.0,2.8003499825228455,40,393.50621271133423
2000,1,10,SD,6036.0,2.842484640045109,89,91.37396216392517
2000,1,10,YS,6231.0,2.8943031737363474,0,873.4264845848083
1000,2,10,RR,3061.0,2.8325597295803,21,191.37867283821106
1000,2,10,SD,3013.0,2.8576386831797618,51,74.30028295516968
1000,2,10,YS,3123.0,2.90851312603833,0,471.48759412765503
2000,2,10,RR,6035.0,2.7813599653928627,37,330.44432520866394
2000,2,10,SD,5991.0,2.8404078369871812,95,90.60175085067749
2000,2,10,YS,6187.0,2.8755216563747217,0,1130.080908536911
1000,3,10,RR,3049.0,2.8088287802307605,16,201.7164134979248
1000,3,10,SD,3022.0,2.8499984583837192,45,55.0100200176239
1000,3,10,YS,3124.0,2.9189568692177987,0,511.6895167827606
1000,0,10,ILP,3119.0,2.839614559692048,26,6142.055872917175
1500,0,10,RR,4527.0,2.777790138276325,29,492.4191813468933
1500,0,10,SD,4477.0,2.814518377805108,73,128.62762641906738
1500,0,10,YS,4639.0,2.872592353928492,0,659.2516784667969
1000,4,10,RR,3048.0,2.787282050293674,13,171.69366312026978
1000,4,10,SD,3008.0,2.8279037950545125,47,46.81593036651611
1000,4,10,YS,3124.0,2.9052731345596152,0,498.34335708618164
3000,0,10,RR,9012.0,2.751994812120672,54,675.9887342453003
3000,0,10,SD,8920.0,2.8137296909396197,154,252.64920449256897
3000,0,10,YS,9276.0,2.8610027519716024,0,1690.714194536209
250,10,0,SD,760.0,2.8871589886127516,15,35.33128261566162
250,10,0,RR,761.0,2.834802811318299,4,121.49648237228394
250,10,0,ILP,775.0,2.9885488816844727,17,436.85050797462463
250,10,0,YS,775.0,2.9195832522634393,0,209.87616515159607
2000,3,10,RR,6052.0,2.7821924385855907,38,332.878968000412
2000,3,10,SD,6003.0,2.8345526713221565,96,89.7482271194458
2000,3,10,YS,6204.0,2.873648383226912,0,862.6160225868225
250,10,1,SD,735.0,2.8023136057838016,14,32.61112403869629
250,10,1,RR,739.0,2.7872961901355797,7,125.66254115104675
250,10,1,ILP,769.0,2.7970982665087605,6,448.97894382476807
250,10,1,YS,769.0,2.866193179997539,0,316.5206081867218
1000,5,10,RR,3034.0,2.780639850751817,18,237.4085021018982
1000,5,10,SD,2981.0,2.8347913096038093,59,105.85442852973938
1000,5,10,YS,3129.0,2.8807701600959246,0,1019.0141298770905
250,10,2,SD,742.0,2.8195050040386795,11,11.33173942565918
250,10,2,RR,747.0,2.7389508406257534,2,42.21290922164917
250,10,2,ILP,781.0,2.904222496896883,8,479.4656250476837
250,10,2,YS,781.0,2.922777053475226,0,116.59900999069214
1500,1,10,RR,4515.0,2.7627729725088894,21,474.4014513492584
1500,1,10,SD,4493.0,2.8329159105095316,67,177.4355354309082
1500,1,10,YS,4633.0,2.8830511384705138,0,982.7140462398529
250,10,3,SD,743.0,2.8532854461654757,14,13.506172180175781
250,10,3,RR,745.0,2.8187148736444034,5,77.14445877075195
250,10,3,ILP,766.0,2.8031724008725534,7,510.01408290863037
250,10,3,YS,766.0,2.8975249827846556,0,168.63255190849304
250,10,4,SD,748.0,2.8208815240864435,11,11.12536334991455
250,10,4,RR,748.0,2.7485319418966863,3,41.27867341041565
250,10,4,ILP,778.0,2.7900720741038265,2,489.1068136692047
250,10,4,YS,782.0,2.900473819940004,0,114.01172685623169
1000,6,10,RR,3022.0,2.7564719046664643,18,314.56257009506226
1000,6,10,SD,2987.0,2.8034161629015246,47,92.61214900016785
1000,6,10,YS,3123.0,2.8675735661364063,0,487.0269253253937
2000,4,10,RR,6031.0,2.776005685727471,30,381.11152744293213
2000,4,10,SD,5985.0,2.824979761544619,92,180.5277247428894
2000,4,10,YS,6209.0,2.8876359925429087,0,1140.6352500915527
250,10,5,SD,745.0,2.8099439070013585,12,10.997338056564331
250,10,5,RR,762.0,2.7969697851642845,1,41.768086433410645
250,10,5,ILP,773.0,2.8804244681238,8,375.73846673965454
250,10,5,YS,773.0,2.9345940601144602,0,222.8086543083191
3000,1,10,RR,9044.0,2.7744972367156926,52,634.2823066711426
3000,1,10,SD,8945.0,2.80658585287887,130,213.04114437103271
3000,1,10,YS,9297.0,2.8774556330297054,0,1877.4413442611694
1500,2,10,RR,4524.0,2.7697255958331173,23,250.6330976486206
1500,2,10,SD,4481.0,2.837741497674543,77,68.47478342056274
1500,2,10,YS,4621.0,2.870129485327948,0,1046.3895769119263
250,10,6,SD,752.0,2.801281365470499,10,10.912657499313354
250,10,6,RR,753.0,2.750916280665703,1,41.03194618225098
250,10,6,ILP,763.0,2.7922315878532333,9,638.71590924263
250,10,6,YS,763.0,2.893589364392315,0,103.16113233566284
1000,7,10,RR,3035.0,2.757076317335731,14,186.5806486606598
