NUM_STUDENTS,seed,alg,seats,nash,zeros,runtime
7000,2,RR,7389.0,1.1397414319330215,784,709.9150083065033
7000,2,SD,7385.0,1.9090733695222541,3698,650.9804444313049
7000,2,YS,7389.0,1.0610555735042662,193,1442.1598637104034
8000,2,RR,7389.0,1.0668599634662244,1242,1035.4364194869995
8000,2,SD,7389.0,1.860789355396605,4624,494.3775339126587
8000,2,YS,7389.0,1.0,611,1438.92586684227
3000,4,RR,7192.000000000001,2.3291199601154804,186,616.0274698734283
3000,4,SD,7175.0,2.4621257695659073,441,277.445748090744
3000,4,YS,7254.0,2.3659924982513756,109,1296.6914298534393
5000,3,RR,7367.0,1.497984912882204,384,711.0274379253387
5000,3,SD,7356.0,2.0319310390804284,1891,364.6869332790375
5000,3,YS,7389.0,1.4247748952068218,109,1181.722396850586
4000,4,RR,7306.0,1.8243027189474725,269,455.8331367969513
4000,4,SD,7279.0,2.2054379835158553,1148,297.8102445602417
4000,4,YS,7339.0,1.8083589112466025,109,1520.5398898124695
6000,3,RR,7389.0,1.281667843671469,559,548.9128818511963
6000,3,SD,7383.0,1.9560244360358645,2777,358.1301636695862
6000,3,YS,7389.0,1.1927454635951609,109,1581.6581976413727
10000,2,RR,7389.0,1.0130819364376147,2747,764.3183844089508
10000,2,SD,7389.0,1.7815168150509344,6479,777.7235174179077
10000,2,YS,7389.0,1.0,2611,1500.8255352973938
7000,3,RR,7389.0,1.1486207788223055,842,849.6684944629669
7000,3,SD,7389.0,1.907981117377627,3694,248.5650634765625
7000,3,YS,7389.0,1.0615250881001084,197,1668.480244398117
3000,5,RR,7177.0,2.3335219537604157,191,395.6005325317383
3000,5,SD,7149.0,2.4667034724824526,455,216.4952199459076
3000,5,YS,7241.000000000001,2.361917629198341,109,1605.2739884853363
5000,4,RR,7389.0,1.498811028830742,374,957.3366053104401
5000,4,SD,7372.0,2.022106291609974,1883,304.06328105926514
5000,4,YS,7389.0,1.4247748952068218,109,1459.3230934143066
8000,3,RR,7389.0,1.0714418635075598,1280,1058.895749092102
8000,3,SD,7389.0,1.87299126436246,4648,475.20927357673645
8000,3,YS,7389.0,1.0,611,1481.4433915615082
4000,5,RR,7305.0,1.82356415813187,278,511.6336393356323
4000,5,SD,7276.0,2.1793294148440463,1115,328.1135964393616
4000,5,YS,7352.0,1.8105425670435367,109,1458.6213159561157
6000,4,RR,7389.0,1.2788807120625547,547,992.9387338161469
6000,4,SD,7378.0,1.9962653898187022,2839,277.06770396232605
6000,4,YS,7389.0,1.1927454635951609,109,1482.6536302566528
3000,6,RR,7163.0,2.332870007273239,193,680.11776471138
3000,6,SD,7145.000000000001,2.4662736553204003,442,242.82084274291992
3000,6,YS,7242.0,2.367320200150121,109,1444.0444679260254
7000,4,RR,7389.0,1.1441516822856732,813,798.7923731803894
7000,4,SD,7389.0,1.9068132120068382,3690,407.6590621471405
7000,4,YS,7389.0,1.0607039356045576,190,1270.9805932044983
5000,5,RR,7369.0,1.4858206132694014,345,699.2633311748505
5000,5,SD,7350.0,2.0479960689937258,1920,297.9288194179535
5000,5,YS,7389.0,1.4247748952068218,109,1117.552544593811
10000,3,RR,7389.0,1.0139711224270747,2756,1050.78751206398
10000,3,SD,7389.0,1.811230192617644,6531,587.4921431541443
10000,3,YS,7389.0,1.0,2611,1338.2780997753143
4000,6,RR,7305.0,1.8280636156050811,266,487.0494291782379
4000,6,SD,7273.0,2.1945907374445666,1128,309.0958752632141
4000,6,YS,7359.0,1.8156185153541182,109,1420.1981546878815
8000,4,RR,7389.0,1.0702291743017252,1270,792.6960837841034
8000,4,SD,7389.0,1.855647844767458,4615,315.17291712760925
8000,4,YS,7389.0,1.0,611,1930.1708388328552
6000,5,RR,7389.0,1.2787954167321007,546,685.3040950298309
6000,5,SD,7373.000000000001,1.951120332189382,2772,666.7601642608643
6000,5,YS,7389.0,1.1927454635951609,109,1373.6544981002808
3000,7,RR,7168.000000000001,2.332263917048239,178,809.6288683414459
3000,7,SD,7150.0,2.4582424766245015,448,366.9739475250244
3000,7,YS,7241.000000000001,2.3746153435661532,109,1471.482673883438
5000,6,RR,7378.0,1.5038607039568446,388,687.2305738925934
5000,6,SD,7352.0,2.048340735321516,1929,404.40762305259705
5000,6,YS,7389.0,1.4247748952068218,109,1230.5628192424774
7000,5,RR,7389.0,1.147381981443742,834,862.156408071518
7000,5,SD,7381.0,1.8878692797706518,3663,628.4116361141205
7000,5,YS,7389.0,1.0603527237618227,187,947.2829103469849
4000,7,RR,7312.0,1.8275556734433454,271,923.4987995624542
4000,7,SD,7286.0,2.195845596313426,1136,251.04853892326355
4000,7,YS,7356.0,1.8150510096488477,109,872.6181690692902
3000,8,RR,7156.000000000001,2.327898586451566,188,380.64684081077576
3000,8,SD,7141.999999999999,2.427572789887229,425,120.83813285827637
3000,8,YS,7223.0,2.3559845399815647,109,1679.7607505321503
10000,4,RR,7389.0,1.014466408078722,2761,688.6094408035278
10000,4,SD,7389.0,1.8122872520913187,6526,346.0807044506073
10000,4,YS,7389.0,1.0,2611,1798.0284950733185
6000,6,RR,7389.0,1.2823335806948084,562,630.7722420692444
6000,6,SD,7376.0,1.9785953668537037,2819,594.952917098999
6000,6,YS,7389.0,1.193097690427463,111,1333.4961097240448
8000,5,RR,7389.0,1.0687804983605762,1258,710.083535194397
8000,5,SD,7389.0,1.870356364555579,4639,797.7727520465851
8000,5,YS,7389.0,1.0,611,1384.052161693573
5000,7,RR,7389.0,1.501676103699603,370,799.8268189430237
5000,7,SD,7376.0,2.071664028932767,1940,325.67457818984985
5000,7,YS,7389.0,1.4247748952068218,109,1534.6556951999664
4000,8,RR,7301.0,1.826568990537302,272,823.4259946346283
4000,8,SD,7271.0,2.1898901700962634,1135,217.86712193489075
4000,8,YS,7353.0,1.8115346855086185,109,1506.3178396224976
3000,9,RR,7171.0,2.3263496578730245,178,872.0382478237152
3000,9,SD,7156.000000000001,2.485874099655369,459,211.93197083473206
3000,9,YS,7249.0,2.373263015832593,109,1449.6203091144562
7000,6,RR,7389.0,1.1495528716971528,848,1016.8719298839569
7000,6,SD,7389.0,1.9025437403843428,3697,368.964271068573
7000,6,YS,7389.0,1.0616425855189275,198,1415.8861780166626
6000,7,RR,7389.0,1.2951909761507716,619,980.6259000301361
6000,7,SD,7373.000000000001,1.9635422047522761,2784,260.1569585800171
6000,7,YS,7389.0,1.1927454635951609,109,1100.4264688491821
8000,6,RR,7389.0,1.0698663370573824,1267,769.9286866188049
8000,6,SD,7389.0,1.8576155238073566,4602,313.9832775592804
8000,6,YS,7389.0,1.0,611,1088.0211699008942
10000,5,RR,7389.0,1.012884744873985,2745,883.2066795825958
10000,5,SD,7389.0,1.822740945910141,6556,472.5263900756836
10000,5,YS,7389.0,1.0,2611,1179.135221004486
4000,9,RR,7294.0,1.8210989428725035,272,544.8079314231873
4000,9,SD,7263.0,2.201129047277128,1140,178.04991149902344
